datetime,vel,temperature,RH,equip_unit,s_r,loc,date_id
2023-05-22T13:13:13Z,0.19,30.6,70.1,VC-T,S,Window,220523
2023-05-22T13:14:13Z,0.16,30.6,70.1,VC-T,S,Window,220523
2023-05-22T13:15:13Z,0.17,30.6,70.4,VC-T,S,Window,220523
2023-05-22T13:16:13Z,0.23,30.6,69.8,VC-T,S,Window,220523
2023-05-22T13:17:13Z,0.32,30.5,68.9,VC-T,S,Window,220523
2023-05-22T13:18:13Z,0.19,30.5,69,VC-T,S,Window,220523
2023-05-22T13:19:13Z,0.21,30.5,69.1,VC-T,S,Window,220523
2023-05-22T13:20:13Z,0.24,30.5,69.3,VC-T,S,Window,220523
2023-05-22T13:21:13Z,0.22,30.5,69.4,VC-T,S,Window,220523
2023-05-22T13:22:13Z,0.22,30.5,69.7,VC-T,S,Window,220523
2023-05-22T13:23:13Z,0.18,30.5,69.7,VC-T,S,Window,220523
2023-05-22T13:24:13Z,0.26,30.6,69.6,VC-T,S,Window,220523
2023-05-22T13:25:13Z,0.25,30.5,69.6,VC-T,S,Window,220523
2023-05-22T13:26:13Z,0.22,30.6,69.5,VC-T,S,Window,220523
2023-05-22T13:27:13Z,0.25,30.6,69.1,VC-T,S,Window,220523
2023-05-22T13:28:13Z,0.17,30.6,69.1,VC-T,S,Window,220523
2023-05-22T13:29:13Z,0.16,30.7,68.8,VC-T,S,Window,220523
2023-05-22T13:30:13Z,0.18,30.7,68.8,VC-T,S,Window,220523
2023-05-22T13:31:13Z,0.25,30.7,68.6,VC-T,S,Window,220523
2023-05-22T13:32:13Z,0.16,30.7,68.4,VC-T,S,Window,220523
2023-05-22T13:33:13Z,0.16,30.7,68.2,VC-T,S,Window,220523
2023-05-22T13:34:13Z,0.17,30.7,67.8,VC-T,S,Window,220523
2023-05-22T13:35:13Z,0.14,30.8,67.6,VC-T,S,Window,220523
2023-05-22T13:36:13Z,0.19,30.8,67.6,VC-T,S,Window,220523
2023-05-22T13:37:13Z,0.2,30.8,67.6,VC-T,S,Window,220523
2023-05-22T13:38:13Z,0.2,30.7,67.4,VC-T,S,Window,220523
2023-05-22T13:39:13Z,0.19,30.7,67.8,VC-T,S,Window,220523
2023-05-22T13:40:13Z,0.16,30.7,68.1,VC-T,S,Window,220523
2023-05-22T13:41:13Z,0.17,30.8,68,VC-T,S,Window,220523
2023-05-22T13:42:13Z,0.21,30.8,67.7,VC-T,S,Window,220523
2023-05-22T13:43:13Z,0.28,30.7,67.8,VC-T,S,Window,220523
2023-05-22T13:44:13Z,0.25,30.6,68,VC-T,S,Window,220523
2023-05-22T13:45:13Z,0.16,30.6,68.4,VC-T,S,Window,220523
2023-05-22T13:46:13Z,0.19,30.6,68.6,VC-T,S,Window,220523
2023-05-22T13:47:13Z,0.12,30.6,68.7,VC-T,S,Window,220523
2023-05-22T13:48:13Z,0.16,30.7,68.8,VC-T,S,Window,220523
2023-05-22T13:49:13Z,0.19,30.7,68.7,VC-T,S,Window,220523
2023-05-22T13:50:13Z,0.19,30.8,68.5,VC-T,S,Window,220523
2023-05-22T13:51:13Z,0.22,30.8,68.2,VC-T,S,Window,220523
2023-05-22T13:52:13Z,0.27,30.8,68,VC-T,S,Window,220523
2023-05-22T13:53:13Z,0.22,30.8,66.8,VC-T,S,Window,220523
2023-05-22T13:54:13Z,0.16,30.7,67.6,VC-T,S,Window,220523
2023-05-22T13:55:13Z,0.2,30.8,67.9,VC-T,S,Window,220523
2023-05-22T13:56:13Z,0.17,30.8,68.2,VC-T,S,Window,220523
2023-05-22T13:57:13Z,0.22,30.7,68.3,VC-T,S,Window,220523
2023-05-22T13:58:13Z,0.26,30.7,68.8,VC-T,S,Window,220523
2023-05-22T13:59:13Z,0.28,30.7,68.9,VC-T,S,Window,220523
2023-05-22T14:00:13Z,0.28,30.6,69,VC-T,S,Window,220523
2023-05-22T14:01:13Z,0.26,30.6,69.3,VC-T,S,Window,220523
2023-05-22T14:02:13Z,0.24,30.6,69.3,VC-T,S,Window,220523
2023-05-22T14:03:13Z,0.31,30.6,69.2,VC-T,S,Window,220523
2023-05-22T14:04:13Z,0.23,30.6,69.2,VC-T,S,Window,220523
2023-05-22T14:05:13Z,0.25,30.6,68.6,VC-T,S,Window,220523
