datetime,equip_unit,vel,temp,rh
2023-05-22T14:11:00Z,T,0.2,30.7,67.1
2023-05-22T14:12:00Z,T,0.12,30.7,67.5
2023-05-22T14:13:00Z,T,0.19,30.8,67.6
2023-05-22T14:14:00Z,T,0.26,30.8,67.6
2023-05-22T14:15:00Z,T,0.24,30.8,67.5
2023-05-22T14:16:00Z,T,0.14,30.9,66.9
2023-05-22T14:17:00Z,T,0.27,30.9,67
2023-05-22T14:18:00Z,T,0.24,30.9,66.5
2023-05-22T14:19:00Z,T,0.14,30.9,67
2023-05-22T14:20:00Z,T,0.24,30.9,67.1
2023-05-22T14:21:00Z,T,0.31,30.9,66.4
2023-05-22T14:22:00Z,T,0.22,30.9,66.3
2023-05-22T14:23:00Z,T,0.2,30.8,66.8
2023-05-22T14:24:00Z,T,0.3,30.8,65.9
2023-05-22T14:25:00Z,T,0.2,30.9,65.7
2023-05-22T14:26:00Z,T,0.16,30.9,65.3
2023-05-22T14:27:00Z,T,0.2,30.9,65.6
2023-05-22T14:28:00Z,T,0.24,31,64.5
2023-05-22T14:29:00Z,T,0.18,31,65.1
2023-05-22T14:30:00Z,T,0.25,31.1,65.7
2023-05-22T14:31:00Z,T,0.22,31,66.3
2023-05-22T14:32:00Z,T,0.24,31,66.9
2023-05-22T14:33:00Z,T,0.29,31.1,66.4
2023-05-22T14:34:00Z,T,0.2,31,65.6
2023-05-22T14:35:00Z,T,0.15,31,65.5
2023-05-22T14:36:00Z,T,0.18,31.1,64.9
2023-05-22T14:37:00Z,T,0.16,31.2,64.9
2023-05-22T14:38:00Z,T,0.16,31.1,65.1
2023-05-22T14:39:00Z,T,0.21,31.1,65.2
2023-05-22T14:40:00Z,T,0.22,31,64.9
2023-05-22T14:41:00Z,T,0.19,31.1,65.3
2023-05-22T14:42:00Z,T,0.07,31.2,65.2
2023-05-22T14:43:00Z,T,0.13,31.2,65.4
2023-05-22T14:44:00Z,T,0.27,31.2,65.1
2023-05-22T14:45:00Z,T,0.24,31.1,65.4
2023-05-22T14:46:00Z,T,0.31,31.1,65.7
2023-05-22T14:47:00Z,T,0.24,31,66
2023-05-22T14:48:00Z,T,0.21,31.1,65.6
2023-05-22T14:49:00Z,T,0.18,31.1,65.2
2023-05-22T14:50:00Z,T,0.21,31.2,65
2023-05-22T14:51:00Z,T,0.17,31.2,65.5
2023-05-22T14:52:00Z,T,0.12,31.3,65.3
